Hz Re(h) Im(h) h white
55.75 -2.8646501252808987e-24 -3.736620367392478e-24 (-2.8646501252808987e-24-3.736620367392478e-24j) (-0.5542513410965773-0.7229597888827655j)
56.0 7.79671793431231e-24 -3.797288468648679e-24 (7.79671793431231e-24-3.797288468648679e-24j) (1.4975757529227582-0.7293744862148891j)
56.25 -3.2700200235334235e-24 7.278556515016475e-25 (-3.2700200235334235e-24+7.278556515016475e-25j) (-0.6136631424593743+0.13659188113309448j)
56.5 1.1438200383496059e-23 -7.414634801616254e-24 (1.1438200383496059e-23-7.414634801616254e-24j) (2.191955792553152-1.4209011171477124j)
56.75 6.755806176416348e-26 8.951084767489582e-24 (6.755806176416348e-26+8.951084767489582e-24j) (0.013116163095636684+1.7378220248991814j)
57.0 9.125287469721451e-24 2.6899424676669086e-25 (9.125287469721451e-24+2.6899424676669086e-25j) (1.7892396185622979+0.05274301385871606j)
57.25 -8.940606956701824e-24 6.620506482563938e-24 (-8.940606956701824e-24+6.620506482563938e-24j) (-1.7244628555455226+1.2769622430971395j)
57.5 6.756838100647769e-24 -3.642852154182719e-24 (6.756838100647769e-24-3.642852154182719e-24j) (1.2994549128562682-0.7005824407880896j)
57.75 -4.960462477207131e-24 -7.322141643131408e-24 (-4.960462477207131e-24-7.322141643131408e-24j) (-0.9608595761899844-1.4183253977527268j)
58.0 7.122858305733227e-24 1.344949309371382e-24 (7.122858305733227e-24+1.344949309371382e-24j) (1.3861786882533529+0.2617404403413526j)
58.25 -2.1794167551452836e-24 -5.296039933381716e-24 (-2.1794167551452836e-24-5.296039933381716e-24j) (-0.38516475743904044-0.935960472687318j)
58.5 1.711940741146761e-24 5.1680737017989235e-24 (1.711940741146761e-24+5.1680737017989235e-24j) (0.28047082577995847+0.8466963043734052j)
58.75 -6.594477302529173e-25 -1.1724058349692331e-23 (-6.594477302529173e-25-1.1724058349692331e-23j) (-0.12219377147468495-2.172434358351238j)
59.0 7.831296551957153e-24 8.113160296333027e-24 (7.831296551957153e-24+8.113160296333027e-24j) (1.4831116621899199+1.5364917638957996j)
59.25 -1.2833628806051149e-23 -3.5334003002388295e-24 (-1.2833628806051149e-23-3.5334003002388295e-24j) (-2.478769100337638-0.6824635195328429j)
59.5 5.103922600119451e-24 4.084154499515201e-24 (5.103922600119451e-24+4.084154499515201e-24j) (0.9906341197170477+0.7927045753634611j)
59.75 6.38120235558403e-24 8.126068685033033e-24 (6.38120235558403e-24+8.126068685033033e-24j) (1.0729901121788994+1.3663869070531967j)
60.0 2.5028903165327205e-23 1.0110316888739044e-23 (2.5028903165327205e-23+1.0110316888739044e-23j) (1.4667914433756135+0.592504042396958j)
60.25 -3.234495179971275e-24 6.229423621596833e-25 (-3.234495179971275e-24+6.229423621596833e-25j) (-0.5196422291183014+0.10007965375535134j)
60.5 5.245940873261107e-24 7.984302047741027e-24 (5.245940873261107e-24+7.984302047741027e-24j) (1.022399519969072+1.5560881790541294j)
60.75 3.53449407413356e-24 -2.141410080857347e-25 (3.53449407413356e-24-2.141410080857347e-25j) (0.7025441954413431-0.042564372462123905j)
61.0 -2.864630250276209e-24 3.434164946976845e-24 (-2.864630250276209e-24+3.434164946976845e-24j) (-0.5748145744840858+0.6890969829402324j)
61.25 1.744203828755347e-24 1.1141712650072024e-24 (1.744203828755347e-24+1.1141712650072024e-24j) (0.3495412012503151+0.22328168070076354j)
61.5 4.301078500708087e-24 3.13603343767792e-24 (4.301078500708087e-24+3.13603343767792e-24j) (0.8619447864457972+0.6284674114367279j)
61.75 3.470450464908019e-24 -1.2945439058544219e-23 (3.470450464908019e-24-1.2945439058544219e-23j) (0.6997092403066595-2.610048297960711j)
