Hz Re(h) Im(h) h white
54.75 -2.9004340596919683e-24 1.5129259460985898e-24 (-2.9004340596919683e-24+1.5129259460985898e-24j) (-0.5394179078687915+0.28137145399940056j)
55.0 2.3436174229575907e-24 -5.5100619338803426e-24 (2.3436174229575907e-24-5.5100619338803426e-24j) (0.4375502901270009-1.028721315249718j)
55.25 1.9407007464344135e-24 2.705256688949371e-24 (1.9407007464344135e-24+2.705256688949371e-24j) (0.37130105661416785+0.5175783380641849j)
55.5 1.0914199582325323e-23 1.2326591331457793e-24 (1.0914199582325323e-23+1.2326591331457793e-24j) (2.0979290887433204+0.23694192436425j)
55.75 -2.7779869666659646e-24 -2.710295710971683e-24 (-2.7779869666659646e-24-2.710295710971683e-24j) (-0.537483788416376-0.5243869117967965j)
56.0 5.413632116662265e-24 -5.054230875726213e-24 (5.413632116662265e-24-5.054230875726213e-24j) (1.039838078209559-0.9708051096539697j)
56.25 -6.381919478463584e-24 1.5020699439349538e-23 (-6.381919478463584e-24+1.5020699439349538e-23j) (-1.197652838175847+2.8188358338946373j)
56.5 1.0871895764055317e-23 1.128956985224624e-24 (1.0871895764055317e-23+1.128956985224624e-24j) (2.083432191871719+0.2163473029268696j)
56.75 -3.645696325147573e-24 8.386255468938194e-24 (-3.645696325147573e-24+8.386255468938194e-24j) (-0.707799281819597+1.6281623779594006j)
57.0 3.517640196665878e-24 -7.338513585118531e-24 (3.517640196665878e-24-7.338513585118531e-24j) (0.6897208690252893-1.4388981488440193j)
57.25 -6.110102153319262e-25 5.516993803537768e-26 (-6.110102153319262e-25+5.516993803537768e-26j) (-0.11785155368103478+0.010641168921248875j)
57.5 8.23213319509736e-24 2.320656500227688e-24 (8.23213319509736e-24+2.320656500227688e-24j) (1.5831792569709342+0.4463017235803833j)
57.75 -8.652306809760042e-24 3.3320364326102245e-24 (-8.652306809760042e-24+3.3320364326102245e-24j) (-1.6759832157772014+0.6454275441450457j)
58.0 4.0992810852487e-24 1.4097771807812732e-23 (4.0992810852487e-24+1.4097771807812732e-23j) (0.7977606507991436+2.7435658541907912j)
58.25 -1.2678269716937103e-23 -3.961350044009206e-24 (-1.2678269716937103e-23-3.961350044009206e-24j) (-2.2406098644246164-0.7000829121964914j)
58.5 -1.9098174453165446e-24 -7.867864113757666e-24 (-1.9098174453165446e-24-7.867864113757666e-24j) (-0.3128893793473789-1.2890086041365711j)
58.75 -1.5306403974152969e-24 -3.416478269703101e-24 (-1.5306403974152969e-24-3.416478269703101e-24j) (-0.283623271945985-0.6330636163933948j)
59.0 4.67414403772486e-25 -2.240381352636475e-24 (4.67414403772486e-25-2.240381352636475e-24j) (0.08852017653925703-0.424289348488225j)
59.25 2.403072554473725e-24 9.682294160102961e-25 (2.403072554473725e-24+9.682294160102961e-25j) (0.46414479364482597+0.1870100183443558j)
59.5 1.8625654820169393e-24 1.3228700828149825e-24 (1.8625654820169393e-24+1.3228700828149825e-24j) (0.3615103639404772+0.2567594265553259j)
59.75 -2.3758849802567616e-24 -5.8138282158777425e-24 (-2.3758849802567616e-24-5.8138282158777425e-24j) (-0.39950168470351605-0.9775869564902036j)
60.0 -1.2081949225242992e-23 9.155554037481781e-24 (-1.2081949225242992e-23+9.155554037481781e-24j) (-0.7080493949665+0.5365512117264915j)
60.25 -2.0605918490237732e-24 -1.3634940158085277e-23 (-2.0605918490237732e-24-1.3634940158085277e-23j) (-0.33104719041171216-2.190539884404775j)
60.5 8.191358005855043e-25 6.83550975848542e-24 (8.191358005855043e-25+6.83550975848542e-24j) (0.15964420292588702+1.3321960854421462j)
60.75 8.970343406421947e-24 -1.3053368140362495e-24 (8.970343406421947e-24-1.3053368140362495e-24j) (1.783016906837548-0.25945914254273256j)
61.0 -5.383017143966667e-25 -1.9585060966467828e-24 (-5.383017143966667e-25-1.9585060966467828e-24j) (-0.10801522146711223-0.3929923760527071j)
61.25 -4.275631539740149e-24 -5.299267384494261e-24 (-4.275631539740149e-24-5.299267384494261e-24j) (-0.856843311467203-1.061981551000572j)
61.5 -5.1530929872740466e-24 -6.707378720662679e-24 (-5.1530929872740466e-24-6.707378720662679e-24j) (-1.0326902040313908-1.3441721926351462j)
61.75 -1.879806432296209e-24 -6.296717409500533e-24 (-1.879806432296209e-24-6.296717409500533e-24j) (-0.37900495741564016-1.2695387528443252j)
