Hz Re(h+) Im(h+) Re(hx) Im(hx) h+ hx
42.5 9.88498211735866e-24 -2.219897136292103e-24 2.1207303467692412e-24 9.443402223838596e-24 (9.88498211735866e-24-2.219897136292103e-24j) (2.1207303467692412e-24+9.443402223838596e-24j)
42.75 1.0012817957852357e-23 -8.789765362670753e-25 8.39711076736314e-25 9.565527407887695e-24 (1.0012817957852357e-23-8.789765362670753e-25j) (8.39711076736314e-25+9.565527407887695e-24j)
43.0 9.963030692976494e-24 4.353752691732022e-25 -4.159262744537112e-25 9.517964229495905e-24 (9.963030692976494e-24+4.353752691732022e-25j) (-4.159262744537112e-25+9.517964229495905e-24j)
43.25 9.747379811641879e-24 1.7016909977059204e-24 -1.625673406510539e-24 9.311946860097548e-24 (9.747379811641879e-24+1.7016909977059204e-24j) (-1.625673406510539e-24+9.311946860097548e-24j)
43.5 9.379634902861688e-24 2.9013139916766006e-24 -2.7717070881635414e-24 8.96062977644984e-24 (9.379634902861688e-24+2.9013139916766006e-24j) (-2.7717070881635414e-24+8.96062977644984e-24j)
43.75 8.87506870757088e-24 4.0184438383652475e-24 -3.83893273948874e-24 8.478603458737474e-24 (8.87506870757088e-24+4.0184438383652475e-24j) (-3.83893273948874e-24+8.478603458737474e-24j)
44.0 8.24999559915079e-24 5.040117865843528e-24 -4.814966754379257e-24 7.881453488000524e-24 (8.24999559915079e-24+5.040117865843528e-24j) (-4.814966754379257e-24+7.881453488000524e-24j)
44.25 7.521334254522096e-24 5.95612839125191e-24 -5.6900574454904394e-24 7.185342753494664e-24 (7.521334254522096e-24+5.95612839125191e-24j) (-5.6900574454904394e-24+7.185342753494664e-24j)
44.5 6.70622690408223e-24 6.758892748048004e-24 -6.456960877604311e-24 6.4066477114172556e-24 (6.70622690408223e-24+6.758892748048004e-24j) (-6.456960877604311e-24+6.4066477114172556e-24j)
44.75 5.8217142433508586e-24 7.443294266002122e-24 -7.110788951334141e-24 5.561647818833136e-24 (5.8217142433508586e-24+7.443294266002122e-24j) (-7.110788951334141e-24+5.561647818833136e-24j)
45.0 4.884451304302452e-24 8.00649505259483e-24 -7.64883054791301e-24 4.666254097544719e-24 (4.884451304302452e-24+8.00649505259483e-24j) (-7.64883054791301e-24+4.666254097544719e-24j)
45.25 3.910469142970671e-24 8.447730686717064e-24 -8.07035539429484e-24 3.735781467538853e-24 (3.910469142970671e-24+8.447730686717064e-24j) (-8.07035539429484e-24+3.735781467538853e-24j)
45.5 2.91498015957895e-24 8.768093987599594e-24 -8.376407491513883e-24 2.7847627638165876e-24 (2.91498015957895e-24+8.768093987599594e-24j) (-8.376407491513883e-24+2.7847627638165876e-24j)
45.75 1.9122242412674733e-24 8.970314005272462e-24 -8.569593978037028e-24 1.8268017522006948e-24 (1.9122242412674733e-24+8.970314005272462e-24j) (-8.569593978037028e-24+1.8268017522006948e-24j)
46.0 9.153524860152739e-25 9.058535404653453e-24 -8.653874369161015e-24 8.744620475188658e-25 (9.153524860152739e-25+9.058535404653453e-24j) (-8.653874369161015e-24+8.744620475188658e-25j)
46.25 -6.36550000119873e-26 9.038102501798866e-24 -8.634354240751512e-24 -6.08114169084881e-26 (-6.36550000119873e-26+9.038102501798866e-24j) (-8.634354240751512e-24-6.08114169084881e-26j)
46.5 -1.0140408684841852e-24 8.915351370053714e-24 -8.517086622384731e-24 -9.68741842809277e-25 (-1.0140408684841852e-24+8.915351370053714e-24j) (-8.517086622384731e-24-9.68741842809277e-25j)
46.75 -1.9262955123475786e-24 8.697412673014953e-24 -8.30888363811608e-24 -1.8402444343454356e-24 (-1.9262955123475786e-24+8.697412673014953e-24j) (-8.30888363811608e-24-1.8402444343454356e-24j)
47.0 -2.7921588491928407e-24 8.392027203568209e-24 -8.017140285719205e-24 -2.667428101814703e-24 (-2.7921588491928407e-24+8.392027203568209e-24j) (-8.017140285719205e-24-2.667428101814703e-24j)
47.25 -3.604602347064186e-24 8.007375513873928e-24 -7.64967167740645e-24 -3.443578290399115e-24 (-3.604602347064186e-24+8.007375513873928e-24j) (-7.64967167740645e-24-3.443578290399115e-24j)
47.5 -4.357794544461239e-24 7.551922507802613e-24 -7.214564574598955e-24 -4.163124040450283e-24 (-4.357794544461239e-24+7.551922507802613e-24j) (-7.214564574598955e-24-4.163124040450283e-24j)
47.75 -5.0470530899350304e-24 7.034277430945657e-24 -6.720043632434998e-24 -4.82159216956271e-24 (-5.0470530899350304e-24+7.034277430945657e-24j) (-6.720043632434998e-24-4.82159216956271e-24j)
48.0 -5.668786077434449e-24 6.4630693287824526e-24 -6.174352421444321e-24 -5.415551228575624e-24 (-5.668786077434449e-24+6.4630693287824526e-24j) (-6.174352421444321e-24-5.415551228575624e-24j)
48.25 -6.220425192003118e-24 5.846837744912865e-24 -5.585649008486745e-24 -5.942547633771559e-24 (-6.220425192003118e-24+5.846837744912865e-24j) (-5.585649008486745e-24-5.942547633771559e-24j)
